DATE,LREM64TTUSM156S
2018-08-01,70.5653143587514
2018-09-01,70.7669972692825
2018-10-01,70.931794563215
2018-11-01,70.9958106595037
2018-12-01,70.9968624989765
2019-01-01,71.0157572594666
2019-02-01,71.0443936744628
2019-03-01,71.0708265001428
2019-04-01,71.1359885490479
2019-05-01,71.1443010225722
2019-06-01,71.2421785422782
2019-07-01,71.26590652252
2019-08-01,71.416044236735
2019-09-01,71.7179123500086
2019-10-01,71.7250563732548
2019-11-01,71.7121443618301
2019-12-01,71.6973467885909
2020-01-01,71.7710383867355
2020-02-01,71.7923845785825
2020-03-01,70.5495798077085
2020-04-01,60.193856177076
2020-05-01,62.2314978919849
2020-06-01,64.7592756362316
2020-07-01,65.3703854453474
2020-08-01,66.8491382228901
2020-09-01,66.9215988453245
2020-10-01,67.9099807220311
